,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
17,20,62,.244,36.0,109.7,118.2,-8.26,2006,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2007,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2007,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2007,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2007,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2007,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2007,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2007,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2007,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2007,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2007,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2007,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2007,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2007,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2007,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2007,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2007,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2007,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2007,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2007,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2007,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2007,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2007,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2007,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2007,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2007,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2007,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2007,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2007,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2007,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2007,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2007,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2008,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2008,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2008,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2008,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2008,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2008,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2008,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2008,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2008,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2008,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2008,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2008,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2008,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2008,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2008,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2008,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2008,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2008,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2008,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2008,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2008,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2008,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2008,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2008,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2008,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2008,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2008,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2008,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2008,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2008,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2009,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2009,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2009,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2009,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2009,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2009,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2009,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2009,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2009,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2009,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2009,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2009,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2009,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2009,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2009,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2009,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2009,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2009,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2009,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2009,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2009,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2009,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2009,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2009,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2009,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2009,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2009,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2009,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2009,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2009,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2010,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2010,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2010,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2010,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2010,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2010,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2010,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2010,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2010,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2010,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2010,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2010,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2010,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2010,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2010,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2010,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2010,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2010,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2010,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2010,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2010,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2010,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2010,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2010,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2010,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2010,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2010,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2010,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2010,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2010,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2011,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2011,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2011,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2011,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2011,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2011,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2011,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2011,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2011,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2011,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2011,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2011,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2011,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2011,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2011,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2011,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2011,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2011,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2011,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2011,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2011,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2011,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2011,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2011,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2011,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2011,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2011,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2011,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2011,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2011,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2011,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2012,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2012,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2012,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2012,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2012,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2012,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2012,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2012,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2012,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2012,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2012,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2012,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2012,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2012,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2012,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2012,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2012,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2012,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2012,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2012,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2012,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2012,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2012,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2012,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2012,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2012,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2012,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2012,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2012,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2012,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2012,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2012,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2013,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2013,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2013,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2013,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2013,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2013,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2013,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2013,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2013,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2013,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2013,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2013,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2013,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2013,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2013,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2013,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2013,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2013,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2013,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2013,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2013,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2013,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2013,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2013,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2013,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2013,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2013,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2013,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2013,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2013,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2014,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2014,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2014,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2014,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2014,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2014,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2014,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2014,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2014,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2014,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2014,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2014,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2014,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2014,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2014,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2014,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2014,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2014,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2014,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2014,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2014,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2014,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2014,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2014,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2014,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2014,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2014,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2014,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2014,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2014,San Antonio Spurs
