,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
17,20,62,.244,36.0,109.7,118.2,-8.26,2014,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2015,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2015,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2015,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2015,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2015,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2015,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2015,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2015,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2015,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2015,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2015,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2015,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2015,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2015,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2015,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2015,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2015,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2015,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2015,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2015,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2015,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2015,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2015,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2015,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2015,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2015,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2015,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2015,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2015,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2015,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2015,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2016,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2016,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2016,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2016,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2016,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2016,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2016,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2016,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2016,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2016,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2016,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2016,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2016,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2016,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2016,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2016,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2016,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2016,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2016,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2016,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2016,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2016,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2016,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2016,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2016,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2016,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2016,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2016,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2016,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2016,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2016,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2016,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2016,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2016,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2017,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2017,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2017,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2017,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2017,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2017,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2017,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2017,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2017,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2017,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2017,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2017,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2017,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2017,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2017,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2017,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2017,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2017,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2017,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2017,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2017,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2017,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2017,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2017,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2017,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2017,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2017,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2017,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2017,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2017,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2017,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2018,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2018,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2018,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2018,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2018,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2018,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2018,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2018,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2018,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2018,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2018,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2018,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2018,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2018,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2018,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2018,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2018,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2018,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2018,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2018,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2018,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2018,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2018,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2018,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2018,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2018,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2018,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2018,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2018,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2018,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2018,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2018,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2019,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2019,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2019,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2019,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2019,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2019,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2019,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2019,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2019,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2019,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2019,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2019,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2019,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2019,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2019,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2019,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2019,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2019,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2019,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2019,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2019,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2019,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2019,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2019,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2019,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2019,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2019,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2019,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2019,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2019,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2020,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2020,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2020,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2020,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2020,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2020,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2020,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2020,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2020,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2020,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2020,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2020,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2020,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2020,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2020,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2020,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2020,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2020,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2020,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2020,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2020,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2020,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2020,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2020,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2020,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2020,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2020,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2020,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2020,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2020,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2020,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2020,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2021,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2021,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2021,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2021,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2021,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2021,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2021,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2021,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2021,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2021,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2021,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2021,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2021,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2021,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2021,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2021,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2021,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2021,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2021,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2021,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2021,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2021,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2021,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2021,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2021,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2021,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2021,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2021,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2021,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2021,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2022,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2022,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2022,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2022,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2022,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2022,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2022,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2022,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2022,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2022,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2022,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2022,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2022,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2022,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2022,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets
